Alert ID,Ticker,Name,Description,Time,Webhook status
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-18 01:26 Price=24703.5 Type=buyCE,2026-04-17T19:58:02Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-18 00:20 Price=24756.5 Type=buyPE,2026-04-17T18:52:26Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-18 00:12 Price=24755 Type=buyPE,2026-04-17T18:45:00Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-18 00:10 Price=24754.5 Type=buyPE,2026-04-17T18:42:11Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-18 00:06 Price=24757.5 Type=buyPE,2026-04-17T18:39:00Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-17 23:58 Price=24757 Type=buyPE,2026-04-17T18:30:16Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-17 23:32 Price=24756 Type=buyPE,2026-04-17T18:06:00Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_Hold Time=2026-04-17 23:27 Price=24755.5 Type=buyCE,2026-04-17T17:59:01Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Sup_to_Res Time=2026-04-17 23:18 Price=24754.5 Type=buyPE,2026-04-17T17:50:00Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-17 22:22 Price=24812 Type=buyPE,2026-04-17T16:54:01Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-17 22:18 Price=24812.5 Type=buyPE,2026-04-17T16:50:19Z,Webhook successfully delivered
4479048237,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-17 20:17 Price=24837 Type=buyPE,2026-04-17T14:49:00Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""Third Target Hit on 1 TimeFrame""}",2026-04-17T09:15:02Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-17T09:15:02Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",Target 3,2026-04-17T09:15:01Z,Webhook successfully delivered